filename,md_domain_size,cpu_time,wall_time,energy_consumption_kWh,mamico_coupling_time
/md30_1/output,30,04:39:48,00:04:02,0.04,34.4296 
/md30_2/output,30,04:41:22,00:04:02,0.04,34.2041 
/md30_3/output,30,04:44:08,00:04:05,0.04,36.0145 
/md60_1/output,60,17:14:54,00:14:34,0.15,176.103 
/md60_2/output,60,17:22:45,00:14:41,0.15,177.921 
/md60_3/output,60,17:34:46,00:14:51,0.15,183.254 
/md90_1/output,90,2-08:15:18,00:47:14,0.51,532.976 
/md90_2/output,90,2-07:43:18,00:46:43,0.50,527.681 
/md90_3/output,90,2-07:56:55,00:46:55,0.51,527.586 
/md120_1/output,120,5-13:47:00,01:52:07,1.21,1423.02 
/md120_2/output,120,5-14:45:13,01:52:54,1.22,1434.07 
/md120_3/output,120,5-15:30:09,01:53:33,1.25,1465.19 
/md150_1/output,150,10-14:18:07,03:32:59,2.35,2912.67 
/md150_2/output,150,10-08:12:22,03:27:55,2.25,2727.09 
/md150_3/output,150,10-11:27:16,03:30:39,2.28,2807.95 
/md180_1/output,180,17-14:33:44,05:53:52,3.87,4926.56 
/md180_2/output,180,17-16:37:15,05:55:37,3.87,5070.04 
/md180_3/output,180,17-17:38:50,05:56:24,3.86,4947.68 
/md210_1/output,210,27-18:05:36,09:17:35,6.07,8421.51 
/md210_2/output,210,27-23:06:51,09:21:44,6.10,8722.86 
/md210_3/output,210,27-15:40:43,09:15:35,6.00,8677.05 
